Airline,Departure Time,Arrival Time,Duration,Total stops,Price,Date,Class,Origin,Destination
IndiGo,17:40,19:50,3h 40m,direct,"₹ 15,032",2023-06-16,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 14,957",2023-06-16,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 17,724",2023-06-16,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 13,522",2023-06-16,Lite,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-06-16,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,799",2023-06-16,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-16,Lite,DEL,DXB
Jazeera Airways,08:15,18:50,12h 05m,1 stop,"₹ 27,182",2023-06-16,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 40,396",2023-06-16,Flex,DEL,DXB
Ethiopian Air,02:30,20:55,19h 55m,2 stops,"₹ 94,599",2023-06-16,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-06-16,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-06-16,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-06-16,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-16,Lite,DEL,DXB
"Vistara, SpiceJet",21:55,03:55,7h 30m,1 stop,"₹ 19,069",2023-06-16,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 29,411",2023-06-16,Flex,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,019",2023-06-16,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 35,242",2023-06-16,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 30,030",2023-06-16,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 36,046",2023-06-16,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 48,221",2023-06-16,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-16,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-06-16,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-06-16,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-06-16,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-06-16,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-16,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 28,467",2023-06-16,Value,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 27,182",2023-06-16,Flex,DEL,DXB
Kuwait Airways,06:55,17:55,12h 30m,1 stop,"₹ 73,537",2023-06-16,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 14,553",2023-06-16,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 13,658",2023-06-16,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 14,451",2023-06-16,Economy,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 24,158",2023-06-16,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 15,054",2023-06-17,Lite,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 37,642",2023-06-17,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 30,030",2023-06-17,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 54,306",2023-06-17,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 42,204",2023-06-17,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 54,306",2023-06-17,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 60,396",2023-06-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-17,Lite,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 24,158",2023-06-17,Economy,DEL,DXB
Air India,20:30,22:45,3h 45m,direct,"₹ 15,334",2023-06-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 14,041",2023-06-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 14,064",2023-06-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,429",2023-06-17,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,781",2023-06-17,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-06-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 15,032",2023-06-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 14,957",2023-06-17,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 17,724",2023-06-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 13,522",2023-06-17,Lite,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-06-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,799",2023-06-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-17,Lite,DEL,DXB
Jazeera Airways,08:15,18:50,12h 05m,1 stop,"₹ 27,182",2023-06-17,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 40,396",2023-06-17,Flex,DEL,DXB
Ethiopian Air,02:30,20:55,19h 55m,2 stops,"₹ 94,599",2023-06-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-06-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-06-17,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-06-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-17,Lite,DEL,DXB
"Vistara, SpiceJet",21:55,03:55,7h 30m,1 stop,"₹ 19,069",2023-06-17,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 29,411",2023-06-17,Flex,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,019",2023-06-17,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 35,242",2023-06-17,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 30,030",2023-06-17,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 36,046",2023-06-17,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 48,221",2023-06-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-17,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-06-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-06-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-06-17,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-06-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-17,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 28,467",2023-06-17,Value,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 27,182",2023-06-17,Flex,DEL,DXB
Kuwait Airways,06:55,17:55,12h 30m,1 stop,"₹ 73,537",2023-06-17,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 14,553",2023-06-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 13,658",2023-06-17,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 14,451",2023-06-17,Economy,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 24,158",2023-06-17,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,555",2023-06-17,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 13,842",2023-06-17,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 13,212",2023-06-17,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-17,Lite,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 15,054",2023-06-18,Lite,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 37,642",2023-06-18,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 30,030",2023-06-18,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 54,306",2023-06-18,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 42,204",2023-06-18,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 54,306",2023-06-18,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 60,396",2023-06-18,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-18,Lite,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 24,158",2023-06-18,Economy,DEL,DXB
Air India,20:30,22:45,3h 45m,direct,"₹ 15,334",2023-06-18,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 14,041",2023-06-18,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 14,064",2023-06-18,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,429",2023-06-18,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,781",2023-06-18,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-06-18,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 15,032",2023-06-18,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 14,957",2023-06-18,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 17,724",2023-06-18,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 13,522",2023-06-18,Lite,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-06-18,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,799",2023-06-18,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-18,Lite,DEL,DXB
Jazeera Airways,08:15,18:50,12h 05m,1 stop,"₹ 27,182",2023-06-18,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 40,396",2023-06-18,Flex,DEL,DXB
Ethiopian Air,02:30,20:55,19h 55m,2 stops,"₹ 94,599",2023-06-18,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-06-18,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-06-18,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-06-18,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-18,Lite,DEL,DXB
"Vistara, SpiceJet",21:55,03:55,7h 30m,1 stop,"₹ 19,069",2023-06-18,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 29,411",2023-06-18,Flex,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,019",2023-06-18,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 35,242",2023-06-18,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 30,030",2023-06-18,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 36,046",2023-06-18,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 48,221",2023-06-18,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-18,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-06-18,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-06-18,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-06-18,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-06-18,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-18,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 28,467",2023-06-18,Value,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 27,182",2023-06-18,Flex,DEL,DXB
Kuwait Airways,06:55,17:55,12h 30m,1 stop,"₹ 73,537",2023-06-18,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 14,553",2023-06-18,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 13,658",2023-06-18,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 14,451",2023-06-18,Economy,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 24,158",2023-06-18,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,555",2023-06-18,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 13,842",2023-06-18,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 13,212",2023-06-18,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-18,Lite,DEL,DXB
Emirates,11:00,13:00,3h 30m,direct,"₹ 16,681",2023-06-18,Eco Special,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 27,622",2023-06-18,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 15,054",2023-06-19,Lite,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 37,642",2023-06-19,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 30,030",2023-06-19,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 54,306",2023-06-19,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 42,204",2023-06-19,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 54,306",2023-06-19,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 60,396",2023-06-19,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-19,Lite,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 24,158",2023-06-19,Economy,DEL,DXB
Air India,20:30,22:45,3h 45m,direct,"₹ 15,334",2023-06-19,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 14,041",2023-06-19,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 14,064",2023-06-19,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,429",2023-06-19,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,781",2023-06-19,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-06-19,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 15,032",2023-06-19,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 14,957",2023-06-19,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 17,724",2023-06-19,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 13,522",2023-06-19,Lite,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-06-19,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,799",2023-06-19,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-19,Lite,DEL,DXB
Jazeera Airways,08:15,18:50,12h 05m,1 stop,"₹ 27,182",2023-06-19,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 40,396",2023-06-19,Flex,DEL,DXB
Ethiopian Air,02:30,20:55,19h 55m,2 stops,"₹ 94,599",2023-06-19,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-06-19,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-06-19,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-06-19,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-19,Lite,DEL,DXB
"Vistara, SpiceJet",21:55,03:55,7h 30m,1 stop,"₹ 19,069",2023-06-19,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 29,411",2023-06-19,Flex,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,019",2023-06-19,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 35,242",2023-06-19,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 30,030",2023-06-19,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 36,046",2023-06-19,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 48,221",2023-06-19,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-19,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-06-19,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-06-19,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-06-19,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-06-19,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-19,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 28,467",2023-06-19,Value,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 27,182",2023-06-19,Flex,DEL,DXB
Kuwait Airways,06:55,17:55,12h 30m,1 stop,"₹ 73,537",2023-06-19,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 14,553",2023-06-19,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 13,658",2023-06-19,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 14,451",2023-06-19,Economy,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 24,158",2023-06-19,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,555",2023-06-19,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 13,842",2023-06-19,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 13,212",2023-06-19,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-19,Lite,DEL,DXB
Emirates,11:00,13:00,3h 30m,direct,"₹ 16,681",2023-06-19,Eco Special,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 27,622",2023-06-19,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 11,935",2023-06-19,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-06-19,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 15,054",2023-06-20,Lite,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 37,642",2023-06-20,Economy,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 30,030",2023-06-20,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 54,306",2023-06-20,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 42,204",2023-06-20,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 54,306",2023-06-20,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 60,396",2023-06-20,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-20,Lite,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 24,158",2023-06-20,Economy,DEL,DXB
Air India,20:30,22:45,3h 45m,direct,"₹ 15,334",2023-06-20,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 14,041",2023-06-20,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 14,064",2023-06-20,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,429",2023-06-20,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 29,781",2023-06-20,Economy,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-06-20,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 15,032",2023-06-20,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 14,957",2023-06-20,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 17,724",2023-06-20,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 13,522",2023-06-20,Lite,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-06-20,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,799",2023-06-20,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-20,Lite,DEL,DXB
Jazeera Airways,08:15,18:50,12h 05m,1 stop,"₹ 27,182",2023-06-20,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 40,396",2023-06-20,Flex,DEL,DXB
Ethiopian Air,02:30,20:55,19h 55m,2 stops,"₹ 94,599",2023-06-20,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-06-20,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-06-20,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-06-20,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-20,Lite,DEL,DXB
"Vistara, SpiceJet",21:55,03:55,7h 30m,1 stop,"₹ 19,069",2023-06-20,Value,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 29,411",2023-06-20,Flex,DEL,DXB
Ethiopian Air,09:35,15:45,31h 40m,1 stop,"₹ 26,019",2023-06-20,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 35,242",2023-06-20,Economy,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 30,030",2023-06-20,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 36,046",2023-06-20,Economy,DEL,DXB
Ethiopian Air,02:30,04:10,27h 10m,1 stop,"₹ 48,221",2023-06-20,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-20,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 24,158",2023-06-20,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,321",2023-06-20,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 11,935",2023-06-20,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 12,669",2023-06-20,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,465",2023-06-20,Lite,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 28,467",2023-06-20,Value,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 27,182",2023-06-20,Flex,DEL,DXB
Kuwait Airways,06:55,17:55,12h 30m,1 stop,"₹ 73,537",2023-06-20,Economy,DEL,DXB
IndiGo,08:40,10:50,3h 40m,direct,"₹ 14,553",2023-06-20,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 13,658",2023-06-20,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 14,451",2023-06-20,Economy,DEL,DXB
Jazeera Airways,08:15,18:40,11h 55m,1 stop,"₹ 24,158",2023-06-20,Economy,DEL,DXB
IndiGo,17:40,19:50,3h 40m,direct,"₹ 13,555",2023-06-20,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 13,842",2023-06-20,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 13,212",2023-06-20,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 14,042",2023-06-20,Lite,DEL,DXB
Emirates,11:00,13:00,3h 30m,direct,"₹ 16,681",2023-06-20,Eco Special,DEL,DXB
Jazeera Airways,08:15,16:00,9h 15m,1 stop,"₹ 27,622",2023-06-20,Economy,DEL,DXB
SpiceJet,07:45,10:10,3h 55m,direct,"₹ 11,935",2023-06-20,Economy,DEL,DXB
SpiceJet,18:45,21:30,4h 15m,direct,"₹ 12,669",2023-06-20,Economy,DEL,DXB
Ethiopian Air,09:35,02:55,18h 50m,1 stop,"₹ 26,276",2023-06-20,Economy,DEL,DXB
Ethiopian Air,09:35,04:10,20h 05m,1 stop,"₹ 30,030",2023-06-20,Economy,DEL,DXB
Ethiopian Air,02:30,02:55,25h 55m,1 stop,"₹ 32,287",2023-06-20,Economy,DEL,DXB
flydubai,04:10,06:50,4h 10m,direct,"₹ 15,054",2023-06-21,Lite,DEL,DXB
Ethiopian Air,02:30,15:45,14h 45m,1 stop,"₹ 37,642",2023-06-21,Economy,DEL,DXB
